"id","description","image_url"
3001,"A vibrant and festive theme featuring a taco bar","https://media-cdn.tripadvisor.com/media/photo-s/19/a5/2b/8a/taco-fiesta-bali.jpg"
3002,"A theme inspired by the flavors of the Mediterranean","https://www.shutterstock.com/image-illustration/set-delicious-tasty-spanish-delights-260nw-609078893.jpg"
3003,"Classic Italian fare with a cozy trattoria ambiance","https://www.shutterstock.com/shutterstock/photos/1054754711/display_1500/stock-photo-view-of-a-small-local-restaurant-or-trattoria-in-italy-1054754711.jpg"
3004,"A hearty barbecue feast with grilled meats","https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F702364939%2F1334550967343%2F1%2Foriginal.20240221-201702?w=1000&auto=format%2Ccompress&q=75&sharp=10&s=af66148673e16cfa8cf0d7a496ae94a3"
3005,"A mix of popular dishes from different Asian cuisines","https://media.istockphoto.com/id/1317255793/photo/rijsttafel-nusantara-an-elaborate-meal-of-indonesian-dishes.jpg?s=612x612&w=0&k=20&c=F_CtvP1w7CMbth0vyT-aqzkB3D5TqZbnwgLc7tbpnsc="
3006,"A theme centered around fresh locally-sourced ingredients","https://media.istockphoto.com/id/1346744481/photo/anonymous-chef-harvesting-fresh-vegetables-on-a-farm.jpg?s=612x612&w=0&k=20&c=U9h4fAi68nwVndAJW8TF-f2lFFCO2Y-XrZWA2gah1Xw="
3007,"A feast for seafood lovers","https://st.depositphotos.com/20827338/57620/i/450/depositphotos_576201884-stock-photo-seafood-plate-shrimp-shellfish-crab.jpg"
3008,"Elegant and classic French dishes","https://www.shutterstock.com/image-photo/cozy-street-tables-cafe-paris-260nw-1078952957.jpg"
3009,"Comfort food from the American South","https://vintagemattituck.com/cdn/shop/products/Southern-Comfort-Whiskey-750ml_1024x1024.jpg?v=1577747836"
3010,"An array of street food from around the world","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSWEqUB0xkb-EHP0I9Ev9mYy6cf3idzoaX6I0vyxlTVkA&s"
