"name","description","image_id"
"Taco Fiesta","A vibrant and festive theme featuring a taco bar",3001
"Mediterranean Delight","A theme inspired by the flavors of the Mediterranean",3002
"Italian Trattoria","Classic Italian fare with a cozy trattoria ambiance",3003
"BBQ Bash","A hearty barbecue feast with grilled meats",3004
"Asian Fusion","A mix of popular dishes from different Asian cuisines",3005
"Farm-to-Table","A theme centered around fresh locally-sourced ingredients",3006
"Seafood Extravaganza","A feast for seafood lovers",3007
"French Bistro","Elegant and classic French dishes",3008
"Southern Comfort","Comfort food from the American South",3009
"Street Food Festival","An array of street food from around the world",3010
