type,difficulty,name,description,prep_time,cook_time,cuisine_name,ingredient_name,portions,image_id
meal,3,Tavë Kosi,"A traditional Albanian dish of baked lamb and rice, topped with a yogurt and egg mixture.",20,60,Albanian,lamb,1,0
dessert,4,Bakllasarem,"A sweet pastry filled with a mixture of walnuts, sugar, and cinnamon, similar to baklava.",30,45,Albanian,phyllo dough,1,0
meal,2,Fërgesë,"A hearty dish of peppers, tomatoes, and cottage cheese, often served as a warm side dish or main course.",15,30,Albanian,red bell pepper,1,0
meal,3,Speca të mbushur,"Bell peppers stuffed with rice, herbs, and seafood, baked until tender.",20,40,Albanian,red bell pepper,1,0
meal,3,Byrek me Spinaq,"A savory pie made with phyllo dough, filled with spinach and feta cheese.",20,30,Albanian,phyllo dough,1,0
meal,2,Jani me fasule,"A traditional bean stew slowly cooked with onions, tomatoes, and spices.",15,120,Albanian,white bean,1,0
dessert,3,Shëndetli,"A walnut cake soaked in syrup, often served during special occasions and holidays.",20,30,Albanian,walnuts,1,0
meal,2,Qifqi,"Rice balls seasoned with mint and fried until crispy, a popular dish from Gjirokastër.",15,10,Albanian,rice,1,0
meal,1,Përime në zgare,"A variety of grilled vegetables, typically seasoned with olive oil, salt, and herbs.",10,15,Albanian,zucchini,1,0
meal,2,Mish me midhje,"A seafood dish featuring sautéed mussels with garlic, wine, and fresh herbs, often served over pasta or with crusty bread.",15,30,Albanian,mussels,1,0
meal,2,Cheeseburger,"A classic American cheeseburger with a juicy beef patty, topped with cheddar cheese, lettuce, tomato, onions, and pickles, served on a toasted bun.",10,10,American,ground beef,1,0
dessert,3,Apple Pie,"A traditional American dessert, this apple pie features a flaky pastry crust filled with sweet and spicy cinnamon apple filling.",30,45,American,unbleached flour,1,0
meal,2,Fried Chicken,"Crispy fried chicken, seasoned with a blend of spices and fried to a perfect golden brown.",20,20,American,chicken,1,0
meal,2,Macaroni and Cheese,"A creamy, cheesy macaroni and cheese dish, baked until bubbly and golden.",10,20,American,pasta,1,0
meal,3,Barbecue Ribs,"Slow-cooked pork ribs slathered in barbecue sauce, grilled until tender and caramelized.",15,180,American,ribs,1,0
meal,1,Pancakes,"Fluffy American pancakes, served hot with butter and maple syrup.",10,15,American,unbleached flour,1,0
dessert,2,Chocolate Chip Cookies,"Classic soft and chewy chocolate chip cookies, loaded with chocolate chips and baked to perfection.",15,10,American,unbleached flour,1,0
meal,1,BLT Sandwich,"A simple but delicious sandwich with bacon, lettuce, and tomato, served on toasted bread with mayonnaise.",5,10,American,bacon,1,0
