"recipe_name","recipe_cuisine_name","theme_name"
"Ghapama","Armenian","Street Food Festival"
"Harissa","Armenian","Asian Fusion"
"Lahmajoun","Armenian","Farm-to-Table"
"Beef and Broccoli","Chinese","Mediterranean Delight"
"Egg Drop Soup","Chinese","Italian Trattoria"
"Kung Pao Chicken","Chinese","Asian Fusion"
"Doro Wat","Ethiopian","Mediterranean Delight"
"Injera","Ethiopian","Farm-to-Table"
"Kitfo","Ethiopian","Mediterranean Delight"
"Coq au Vin","French","French Bistro"
"Crème Brûlée","French","Street Food Festival"
"French Onion Soup","French","Southern Comfort"
"Black Forest Cake","German","BBQ Bash"
"Pretzels","German","Mediterranean Delight"
"Sauerbraten","German","Asian Fusion"
"Baklava","Greek","Farm-to-Table"
"Baklava","Turkish","Italian Trattoria"
"Greek Salad (Horiatiki)","Greek","Asian Fusion"
"Moussaka","Greek","BBQ Bash"
"Chicken Biryani","Indian","Asian Fusion"
"Mango Lassi","Indian","BBQ Bash"
"Palak Paneer","Indian","Taco Fiesta"
"Osso Buco","Italian","Mediterranean Delight"
"Spaghetti Carbonara","Italian","Taco Fiesta"
"Tiramisu","Italian","Asian Fusion"
"Matcha Ice Cream","Japanese","Farm-to-Table"
"Ramen","Japanese","Mediterranean Delight"
"Sushi Rolls (Maki Sushi)","Japanese","Mediterranean Delight"
"Beshbarmak","Kazakh","Street Food Festival"
"Kazy","Kazakh","Street Food Festival"
"Kurt","Kazakh","Mediterranean Delight"
"Nyama Choma","Kenyan","Taco Fiesta"
"Sukuma Wiki","Kenyan","Street Food Festival"
"Ugali","Kenyan","BBQ Bash"
"Bibimbap","Korean","Taco Fiesta"
"Hoddeok","Korean","French Bistro"
"Kimchi Jjigae","Korean","Mediterranean Delight"
"Chiles en Nogada","Mexican","Taco Fiesta"
"Flan","Mexican","Seafood Extravaganza"
"Tacos al Pastor","Mexican","Farm-to-Table"
"İskender Kebab","Turkish","Farm-to-Table"
"Lahmacun","Turkish","Street Food Festival"
"Gutap","Turkmen","French Bistro"
"Palaw","Turkmen","Taco Fiesta"
"Shurpa","Turkmen","French Bistro"
"Bara Brith","Welsh","Farm-to-Table"
"Cawl","Welsh","Mediterranean Delight"
"Welsh Rarebit","Welsh","Street Food Festival"
"Tavë Kosi","Albanian","Southern Comfort"
"Bakllasarem","Albanian","Farm-to-Table"
"Fërgesë","Albanian","Asian Fusion"
"Speca të mbushur","Albanian","Street Food Festival"
"Byrek me Spinaq","Albanian","French Bistro"
"Jani me fasule","Albanian","Seafood Extravaganza"
"Shëndetli","Albanian","Southern Comfort"
"Qifqi","Albanian","Taco Fiesta"
"Përime në zgare","Albanian","Taco Fiesta"
"Mish me midhje","Albanian","Street Food Festival"
"Cheeseburger","American","Farm-to-Table"
"Apple Pie","American","Street Food Festival"
"Fried Chicken","American","Street Food Festival"
"Macaroni and Cheese","American","Italian Trattoria"
"Barbecue Ribs","American","Taco Fiesta"
"Pancakes","American","Italian Trattoria"
"Chocolate Chip Cookies","American","Taco Fiesta"
"BLT Sandwich","American","French Bistro"
"Clam Chowder","American","Asian Fusion"
"Brownies","American","Seafood Extravaganza"
"Shopska Salata","Bulgarian","French Bistro"
"Kavarma","Bulgarian","French Bistro"
"Banitsa","Bulgarian","Taco Fiesta"
"Mekitsa","Bulgarian","BBQ Bash"
"Musaka","Bulgarian","Asian Fusion"
"Tarator","Bulgarian","Farm-to-Table"
"Kadaif","Bulgarian","French Bistro"
"Bulgarian Cheese Toast","Bulgarian","Seafood Extravaganza"
"Garash Cake","Bulgarian","BBQ Bash"
"Sarmi","Bulgarian","BBQ Bash"
"Beef Stroganoff","Russian","Seafood Extravaganza"
"Medovik","Russian","Mediterranean Delight"
"Borscht","Russian","BBQ Bash"
"Pelmeni","Russian","French Bistro"
"Syrniki","Russian","BBQ Bash"
"Kasha","Russian","Seafood Extravaganza"
"Pryaniki","Russian","BBQ Bash"
"Zefir","Russian","Asian Fusion"
"Olivier Salad","Russian","BBQ Bash"
"Shchi","Russian","Street Food Festival"
