id;description;image_url
1;greek cuisine;https://thumbs.dreamstime.com/b/greek-food-table-scene-top-down-view-dark-background-souvlaki-gyros-wraps-salad-spanakopita-dolmades-pita-lemon-potatoes-225466730.jpg
2;french cuisine;https://media.istockphoto.com/id/584597902/vector/french-cuisine-icons.jpg?s=612x612&w=0&k=20&c=-mAbhivcSqKAoTyHFZ27fH5XmlSgS-f9EUrl9Hf10IE=
3;indian cuisine;https://t4.ftcdn.net/jpg/02/84/46/89/360_F_284468940_1bg6BwgOfjCnE3W0wkMVMVqddJgtMynE.jpg
4;italian cuisine;https://media.istockphoto.com/id/1227415751/photo/full-table-of-italian-meals-on-plates-pizza-pasta-ravioli-carpaccio-caprese-salad-and-tomato.jpg?s=612x612&w=0&k=20&c=0qCRhYGQw0w6ahhVX-4ezayA9r81A81cwbPDbgRlC5s=
5;japanese cuisine;https://media.gettyimages.com/id/1300135479/photo/traditional-japanese-dishes-sushi-and-sushi-roll-set-rice-bowls-tuna-tataki.jpg?s=612x612&w=gi&k=20&c=gCZVauon73_wj5BThVQP3axU062jV1udZwApn4yZzEI=
6;chinese cuisine;https://media.istockphoto.com/id/545286388/photo/chinese-food-blank-background.jpg?s=612x612&w=0&k=20&c=pqOIy07YKO5PlU5VxjscwTGRrrZ8PluKMUjSOz-II60=
7;mexican cuisine;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTlt4IkGPmtzTYHsFrhUfHZsl7D9oR_XoDeKyEGRJEPMw&s
8;german cuisine;https://t3.ftcdn.net/jpg/02/90/54/44/360_F_290544453_eut3D4HHoR9DnZaLqFJLgPhyj25mMLFq.jpg
9;korean cuisine;https://www.shutterstock.com/shutterstock/photos/2327701667/display_1500/stock-photo-korean-foods-served-on-a-dining-table-perfect-for-photo-illustration-article-or-any-cooking-2327701667.jpg
10;turkish cuisine;https://t3.ftcdn.net/jpg/02/72/40/16/360_F_272401663_Oz1FHbPJjmTSsOArkkb4X8pUeiVxDueR.jpg
